Year,Month,DOMESTIC,INTERNATIONAL,TOTAL
2002,10,815032,53708,868740
2002,11,766327,53279,819606
2002,12,781653,57219,838872
2003,1,785160,57667,842827
2003,2,690351,51259,741610
2003,3,797194,58926,856120
2003,4,766260,55005,821265
2003,5,789397,55265,844662
2003,6,798351,58225,856576
2003,7,831619,62957,894576
2003,8,830737,63760,894497
2003,9,781804,54017,835821
2003,10,818308,54272,872580
2003,11,765842,53817,819659
2003,12,798392,57578,855970
2004,1,787237,58293,845530
2004,2,761618,55822,817440
2004,3,834476,60649,895125
2004,4,817899,60455,878354
2004,5,833350,62596,895946
2004,6,836916,64256,901172
2004,7,871049,69890,940939
2004,8,882979,68332,951311
2004,9,819294,56541,875835
2004,10,861291,58659,919950
2004,11,820048,58312,878360
2004,12,836232,63469,899701
2005,1,807338,64803,872141
2005,2,760955,59351,820306
2005,3,866593,68802,935395
2005,4,838122,66430,904552
2005,5,872961,68225,941186
2005,6,863422,69814,933236
2005,7,887084,74818,961902
2005,8,890938,73164,964102
2005,9,814935,61812,876747
2005,10,831265,61017,892282
2005,11,797460,59265,856725
2005,12,802067,65240,867307
2006,1,785364,66236,851600
2006,2,715843,60661,776504
2006,3,823793,70264,894057
2006,4,794390,68537,862927
2006,5,824051,68676,892727
2006,6,820310,71424,891734
2006,7,852114,76301,928415
2006,8,866551,74735,941286
2006,9,799777,62710,862487
2006,10,828218,63105,891323
2006,11,792523,61823,854346
2006,12,805058,68978,874036
2007,1,803924,69634,873558
2007,2,724657,62711,787368
2007,3,830373,72367,902740
2007,4,809663,70037,879700
2007,5,844074,70437,914511
2007,6,832163,72797,904960
2007,7,863658,77533,941191
2007,8,872349,76818,949167
2007,9,805066,64283,869349
2007,10,841179,64536,905715
2007,11,804635,64236,868871
2007,12,803981,70325,874306
2008,1,793275,70805,864080
2008,2,746679,66402,813081
2008,3,817511,74449,891960
2008,4,799664,70840,870504
2008,5,820114,71787,891901
2008,6,815914,72783,888697
2008,7,844737,77244,921981
2008,8,823517,75242,898759
2008,9,728377,59708,788085
2008,10,758538,60997,819535
2008,11,707246,60687,767933
2008,12,720062,65422,785484
2009,1,709933,66971,776904
2009,2,659899,61219,721118
2009,3,747363,69764,817127
2009,4,728856,67069,795925
2009,5,748984,63841,812825
2009,6,760136,66341,826477
2009,7,793994,71164,865158
2009,8,781315,70022,851337
2009,9,709793,57696,767489
2009,10,726573,58273,784846
2009,11,694749,58724,753473
2009,12,704840,64801,769641
2010,1,694852,66583,761435
2010,2,622999,59833,682832
2010,3,739894,69737,809631
2010,4,722566,66054,788620
2010,5,741574,68031,809605
2010,6,751326,70427,821753
2010,7,782439,76123,858562
2010,8,781423,72823,854246
2010,9,718643,60368,779011
2010,10,737224,62454,799678
2010,11,704372,60704,765076
2010,12,702581,66014,768595
2011,1,681152,68426,749578
2011,2,625530,61615,687145
2011,3,754669,71925,826594
2011,4,720073,68663,788736
2011,5,743778,67680,811458
2011,6,756675,69903,826578
2011,7,783811,76305,860116
2011,8,767948,71574,839522
2011,9,706395,61645,768040
2011,10,723222,62821,786043
2011,11,682660,60778,743438
2011,12,701348,67821,769169
2012,1,677704,68013,745717
2012,2,647027,64878,711905
2012,3,728636,73363,801999
2012,4,706994,68925,775919
2012,5,725712,69813,795525
2012,6,735084,72160,807244
2012,7,757484,76163,833647
2012,8,753441,74196,827637
2012,9,677990,62528,740518
2012,10,694712,62790,757502
2012,11,669260,61817,731077
2012,12,670793,67858,738651
2013,1,662014,68653,730667
2013,2,607564,62950,670514
2013,3,710137,73801,783938
2013,4,693876,69117,762993
2013,5,721429,70699,792128
2013,6,719340,72922,792262
2013,7,751473,77429,828902
2013,8,747070,75176,822246
2013,9,683379,62011,745390
2013,10,708414,64554,772968
2013,11,655776,63286,719062
2013,12,662288,69136,731424
2014,1,624812,68624,693436
2014,2,577191,63469,640660
2014,3,696376,76064,772440
2014,4,676337,71580,747917
2014,5,695855,72994,768849
2014,6,701992,76431,778423
2014,7,735424,80457,815881
2014,8,723997,76481,800478
2014,9,665490,62408,727898
2014,10,693925,63369,757294
2014,11,648891,64800,713691
2014,12,666264,71191,737455
2015,1,634734,69893,704627
2015,2,569972,62648,632620
2015,3,683892,72926,756818
2015,4,669783,70846,740629
2015,5,690116,71597,761713
2015,6,697378,74020,771398
2015,7,732753,78536,811289
2015,8,723998,75991,799989
2015,9,658392,62367,720759
2015,10,687710,63662,751372
2015,11,651176,63492,714668
2015,12,659785,70945,730730
2016,1,636761,70476,707237
2016,2,612176,65905,678081
2016,3,697830,74166,771996
2016,4,675633,71002,746635
2016,5,702944,72121,775065
2016,6,713634,75070,788704
2016,7,731044,78726,809770
2016,8,731988,74906,806894
2016,9,673171,62762,735933
2016,10,688347,63260,751607
2016,11,658162,61188,719350
2016,12,662154,72280,734434
2017,1,645169,71242,716411
2017,2,592048,63807,655855
2017,3,696983,73651,770634
2017,4,673380,72137,745517
2017,5,706747,72895,779642
2017,6,718817,76507,795324
2017,7,739541,81408,820949
2017,8,735233,75662,810895
2017,9,652003,60039,712042
2017,10,691971,64389,756360
2017,11,656939,62616,719555
2017,12,667216,71441,738657
2018,1,653344,69767,723111
2018,2,600492,63466,663958
2018,3,698464,74602,773066
2018,4,695306,72042,767348
2018,5,724065,73277,797342
2018,6,732292,77394,809686
2018,7,759879,81620,841499
2018,8,756345,77086,833431
2018,9,686422,65032,751454
2018,10,722634,66557,789191
2018,11,678121,64528,742649
2018,12,691040,73025,764065
2019,1,667538,72265,739803
2019,2,607916,65171,673087
2019,3,729115,77118,806233
2019,4,708988,72813,781801
2019,5,740482,74788,815270
2019,6,741462,79201,820663
2019,7,768645,82681,851326
2019,8,769675,78975,848650
2019,9,705071,64280,769351
2019,10,740180,65807,805987
2019,11,694377,64025,758402
2019,12,721420,71724,793144
2020,1,700493,70035,770528
2020,2,660344,64414,724758
2020,3,616136,51108,667244
2020,4,217262,5018,222280
2020,5,209754,4996,214750
2020,6,272329,7178,279507
2020,7,411226,16692,427918
2020,8,435302,18142,453444
2020,9,379506,18285,397791
2020,10,410189,23724,433913
2020,11,421049,29652,450701
2020,12,428768,38852,467620
2021,1,446513,45030,491543
2021,2,361687,34903,396590
2021,3,499359,42273,541632
2021,4,514268,40981,555249
2021,5,565788,44613,610401
2021,6,617719,48831,666550
2021,7,667452,52663,720115
2021,8,660465,50582,711047
2021,9,608893,43702,652595
2021,10,628796,47139,675935
2021,11,616337,50706,667043
2021,12,604038,59708,663746
